region,month,date,gangsu,rain,temperature
도봉구,1,2018-01-01,0,0,-1.6
도봉구,1,2018-01-02,0,0,-1.9
도봉구,1,2018-01-03,0,0,-3.9
도봉구,1,2018-01-04,0,0,-4.4
도봉구,1,2018-01-05,0,0,-2.8
도봉구,1,2018-01-06,0,0,-3
도봉구,1,2018-01-07,0,0,-1.8
도봉구,1,2018-01-08,0,0,1.5
도봉구,1,2018-01-09,0,0,-3.7
도봉구,1,2018-01-10,0,0,-6.7
도봉구,1,2018-01-11,0,0,-10.7
도봉구,1,2018-01-12,0,0,-10.2
도봉구,1,2018-01-13,0,0,-5.1
도봉구,1,2018-01-14,0,0,-0.4
도봉구,1,2018-01-15,0,0,4.3
도봉구,1,2018-01-16,0,0,3
도봉구,1,2018-01-17,0,0,4.5
도봉구,1,2018-01-18,0,0,2.6
도봉구,1,2018-01-19,0,0,1.1
도봉구,1,2018-01-20,0,0,1.7
도봉구,1,2018-01-21,0,0,0.5
도봉구,1,2018-01-22,2,1,0.1
도봉구,1,2018-01-23,0,0,-11
도봉구,1,2018-01-24,0,0,-13.9
도봉구,1,2018-01-25,0,0,-13.7
도봉구,1,2018-01-26,0,0,-14.3
도봉구,1,2018-01-27,0,0,-10.3
도봉구,1,2018-01-28,0.5,1,-5.6
도봉구,1,2018-01-29,0,0,-7.9
도봉구,1,2018-01-30,0,0,-6.2
도봉구,1,2018-01-31,2.5,1,-2.2
도봉구,2,2018-02-01,0,0,-3.9
도봉구,2,2018-02-02,0,0,-2.7
도봉구,2,2018-02-03,0,0,-6.3
도봉구,2,2018-02-04,0,0,-9.1
도봉구,2,2018-02-05,0,0,-8.8
도봉구,2,2018-02-06,0,0,-9.7
도봉구,2,2018-02-07,0,0,-8.2
도봉구,2,2018-02-08,0,0,-5.1
도봉구,2,2018-02-09,0,0,-0.4
도봉구,2,2018-02-10,0,0,0.5
도봉구,2,2018-02-11,0,0,-5.4
도봉구,2,2018-02-12,0,0,-5.5
도봉구,2,2018-02-13,0,0,-1
도봉구,2,2018-02-14,0,0,3.6
도봉구,2,2018-02-15,0,0,0.2
도봉구,2,2018-02-16,0,0,-0.5
도봉구,2,2018-02-17,0,0,-2.1
도봉구,2,2018-02-18,0,0,0
도봉구,2,2018-02-19,0,0,2
도봉구,2,2018-02-20,0,0,1.4
도봉구,2,2018-02-21,0,0,-0.2
도봉구,2,2018-02-22,0,0,1.6
도봉구,2,2018-02-23,5.5,1,3.8
도봉구,2,2018-02-24,0,0,2.9
도봉구,2,2018-02-25,0,0,2.4
도봉구,2,2018-02-26,0,0,2.6
도봉구,2,2018-02-27,0,0,3.8
도봉구,2,2018-02-28,26,1,4.1
도봉구,3,2018-03-01,1.5,1,0.7
도봉구,3,2018-03-02,0,0,-0.6
도봉구,3,2018-03-03,0,0,7.4
도봉구,3,2018-03-04,13,1,9.7
도봉구,3,2018-03-05,6,1,5.7
도봉구,3,2018-03-06,0,0,4.5
도봉구,3,2018-03-07,1,1,6.1
도봉구,3,2018-03-08,6,1,5
도봉구,3,2018-03-09,0,0,5.5
도봉구,3,2018-03-10,0,0,4.8
도봉구,3,2018-03-11,0,0,6.7
도봉구,3,2018-03-12,0,0,7.7
도봉구,3,2018-03-13,0,0,11.9
도봉구,3,2018-03-14,0,0,17.1
도봉구,3,2018-03-15,20.5,1,13.3
도봉구,3,2018-03-16,0,0,7
도봉구,3,2018-03-17,0,0,6.5
도봉구,3,2018-03-18,1,1,8.3
도봉구,3,2018-03-19,1.5,1,8.2
도봉구,3,2018-03-20,0,0,5.1
도봉구,3,2018-03-21,1.5,1,2.5
도봉구,3,2018-03-22,0,0,5.9
도봉구,3,2018-03-23,0,0,6.3
도봉구,3,2018-03-24,0,0,8.3
도봉구,3,2018-03-25,0,0,10.4
도봉구,3,2018-03-26,0,0,11.3
도봉구,3,2018-03-27,0,0,13.4
도봉구,3,2018-03-28,0,0,14.3
도봉구,3,2018-03-29,0,0,16
도봉구,3,2018-03-30,0,0,15
도봉구,3,2018-03-31,0,0,14.3
도봉구,4,2018-04-01,0,0,15.8
도봉구,4,2018-04-02,0,0,18.6
도봉구,4,2018-04-03,0,0,18.4
도봉구,4,2018-04-04,12.5,1,13.1
도봉구,4,2018-04-05,14.5,1,7.8
도봉구,4,2018-04-06,7,1,6.8
도봉구,4,2018-04-07,0,0,5.1
도봉구,4,2018-04-08,5,1,4
도봉구,4,2018-04-09,0,0,7.1
도봉구,4,2018-04-10,7,1,14.6
도봉구,4,2018-04-11,0,0,13.7
도봉구,4,2018-04-12,0,0,13.4
도봉구,4,2018-04-13,0,0,14.3
도봉구,4,2018-04-14,9,1,9.5
도봉구,4,2018-04-15,0,0,10.2
도봉구,4,2018-04-16,0,0,11.9
도봉구,4,2018-04-17,0,0,12.9
도봉구,4,2018-04-18,0,0,13
도봉구,4,2018-04-19,0,0,14.5
도봉구,4,2018-04-20,0,0,18.1
도봉구,4,2018-04-21,0,0,18.5
도봉구,4,2018-04-22,13.5,1,15.7
도봉구,4,2018-04-23,65.5,1,10
도봉구,4,2018-04-24,2,1,12.4
도봉구,4,2018-04-25,0,0,14.5
도봉구,4,2018-04-26,0,0,15.3
도봉구,4,2018-04-27,0,0,15.4
도봉구,4,2018-04-28,0,0,15.8
도봉구,4,2018-04-29,0,0,15.9
도봉구,4,2018-04-30,0,0,18.8
도봉구,5,2018-05-01,0,0,19.7
도봉구,5,2018-05-02,19,1,15
도봉구,5,2018-05-03,0,0,11.5
도봉구,5,2018-05-04,0,0,14.9
도봉구,5,2018-05-05,0,0,18
도봉구,5,2018-05-06,22,1,16
도봉구,5,2018-05-07,0,0,18.3
도봉구,5,2018-05-08,0,0,17.1
도봉구,5,2018-05-09,0,0,14.6
도봉구,5,2018-05-10,0,0,15.2
도봉구,5,2018-05-11,0,0,15.8
도봉구,5,2018-05-12,43,1,13.4
도봉구,5,2018-05-13,0,0,16.1
도봉구,5,2018-05-14,0,0,17.4
도봉구,5,2018-05-15,0,0,21.7
도봉구,5,2018-05-16,36,1,21.6
도봉구,5,2018-05-17,82,1,20.9
도봉구,5,2018-05-18,9,1,15.5
도봉구,5,2018-05-19,0,0,16.7
도봉구,5,2018-05-20,0,0,15.8
도봉구,5,2018-05-21,0,0,16.8
도봉구,5,2018-05-22,12.5,1,17.1
도봉구,5,2018-05-23,5.5,1,17.5
도봉구,5,2018-05-24,0,0,17.5
도봉구,5,2018-05-25,0,0,18.8
도봉구,5,2018-05-26,0,0,20.8
도봉구,5,2018-05-27,0,0,20.3
도봉구,5,2018-05-28,0,0,22.3
도봉구,5,2018-05-29,0.5,1,21.2
도봉구,5,2018-05-30,0,0,20.3
도봉구,5,2018-05-31,0,0,21
도봉구,6,2018-06-01,0,0,23.5
도봉구,6,2018-06-02,0,0,23.1
도봉구,6,2018-06-03,0,0,22.5
도봉구,6,2018-06-04,0,0,22
도봉구,6,2018-06-05,0,0,22.8
도봉구,6,2018-06-06,0,0,22.6
도봉구,6,2018-06-07,0,0,22.1
도봉구,6,2018-06-08,0,0,21.3
도봉구,6,2018-06-09,1,1,22.6
도봉구,6,2018-06-10,1,1,20
도봉구,6,2018-06-11,0.5,1,19.8
도봉구,6,2018-06-12,0,0,20.7
도봉구,6,2018-06-13,0,0,21.3
도봉구,6,2018-06-14,43.5,1,20.5
도봉구,6,2018-06-15,5.5,1,19.8
도봉구,6,2018-06-16,0,0,27.2
도봉구,6,2018-06-17,0,0,22.5
도봉구,6,2018-06-18,0,0,25
도봉구,6,2018-06-19,0,0,21.9
도봉구,6,2018-06-20,0,0,22.4
도봉구,6,2018-06-21,0,0,23.2
도봉구,6,2018-06-22,0,0,26.9
도봉구,6,2018-06-23,0,0,23.7
도봉구,6,2018-06-24,0,0,24.6
도봉구,6,2018-06-25,0,0,25.5
도봉구,6,2018-06-26,90.5,1,21.9
도봉구,6,2018-06-27,0.5,1,22.3
도봉구,6,2018-06-28,25,1,23.1
도봉구,6,2018-06-29,0.5,1,25.3
도봉구,6,2018-06-30,32,1,22.9
도봉구,7,2018-07-01,80,1,21.6
도봉구,7,2018-07-02,54,1,22.1
도봉구,7,2018-07-03,0,0,26.9
도봉구,7,2018-07-04,0,0,28
도봉구,7,2018-07-05,0,0,25.5
도봉구,7,2018-07-06,0,0,24.5
도봉구,7,2018-07-07,0,0,23.7
도봉구,7,2018-07-08,0,0,23.1
도봉구,7,2018-07-09,13,1,20.9
도봉구,7,2018-07-10,29,1,22.8
도봉구,7,2018-07-11,8.5,1,26
도봉구,7,2018-07-12,0.5,1,26.6
도봉구,7,2018-07-13,0,0,27.3
도봉구,7,2018-07-14,0,0,28.3
도봉구,7,2018-07-15,0,0,28.4
도봉구,7,2018-07-16,0,0,29.1
도봉구,7,2018-07-17,0,0,28.1
도봉구,7,2018-07-18,0,0,28.5
도봉구,7,2018-07-19,0,0,28.7
도봉구,7,2018-07-20,0,0,29.5
도봉구,7,2018-07-21,0,0,30.6
도봉구,7,2018-07-22,0,0,31.5
도봉구,7,2018-07-23,0,0,31.6
도봉구,7,2018-07-24,0,0,31.4
도봉구,7,2018-07-25,0,0,30.6
도봉구,7,2018-07-26,0,0,29.8
도봉구,7,2018-07-27,0,0,31.1
도봉구,7,2018-07-28,1,1,30.5
도봉구,7,2018-07-29,0,0,31.3
도봉구,7,2018-07-30,0,0,31.7
도봉구,7,2018-07-31,0,0,32.1
도봉구,8,2018-08-01,0,0,33.7
도봉구,8,2018-08-02,0,0,33.8
도봉구,8,2018-08-03,0,0,33.3
도봉구,8,2018-08-04,0,0,31.7
도봉구,8,2018-08-05,0,0,30.7
도봉구,8,2018-08-06,1,1,30.8
도봉구,8,2018-08-07,0,0,30.7
도봉구,8,2018-08-08,0,0,31.7
도봉구,8,2018-08-09,0.5,1,29.8
도봉구,8,2018-08-10,0,0,31.2
도봉구,8,2018-08-11,0,0,31
도봉구,8,2018-08-12,2,1,30.2
도봉구,8,2018-08-13,2,1,30.5
도봉구,8,2018-08-14,0,0,31.4
도봉구,8,2018-08-15,0,0,31.6
도봉구,8,2018-08-16,0,0,29.7
도봉구,8,2018-08-17,0,0,26.9
도봉구,8,2018-08-18,0,0,26.1
도봉구,8,2018-08-19,0,0,27.6
도봉구,8,2018-08-20,0,0,28.8
도봉구,8,2018-08-21,6,1,26.8
도봉구,8,2018-08-22,0,0,30
도봉구,8,2018-08-23,1.5,1,29.2
도봉구,8,2018-08-24,12,1,24.3
도봉구,8,2018-08-25,0,0,25.7
도봉구,8,2018-08-26,0,0,23.4
도봉구,8,2018-08-27,33.5,1,22.1
도봉구,8,2018-08-28,178.5,1,23.4
도봉구,8,2018-08-29,148.5,1,24.3
도봉구,8,2018-08-30,44,1,25.7
도봉구,8,2018-08-31,0,0,25.6
도봉구,9,2018-09-01,0,0,25.5
도봉구,9,2018-09-02,0,0,24.6
도봉구,9,2018-09-03,27.5,1,23.1
도봉구,9,2018-09-04,0,0,23.5
도봉구,9,2018-09-05,0,0,23.9
도봉구,9,2018-09-06,1,1,23.7
도봉구,9,2018-09-07,0.5,1,22.3
도봉구,9,2018-09-08,0,0,21
도봉구,9,2018-09-09,0,0,21.4
도봉구,9,2018-09-10,0,0,22.5
도봉구,9,2018-09-11,0,0,21
도봉구,9,2018-09-12,0,0,21.6
도봉구,9,2018-09-13,0,0,22.1
도봉구,9,2018-09-14,0,0,22.9
도봉구,9,2018-09-15,0,0,23.1
도봉구,9,2018-09-16,1.5,1,22.2
도봉구,9,2018-09-17,0,0,22.3
도봉구,9,2018-09-18,0,0,21.4
도봉구,9,2018-09-19,0,0,21.6
